"plot","site","alt","long_garmin","lat_garmin","x_garmin","y_garmin","z_garmin","x_trimble","y_trimble","z_trimble","x_diff","y_diff","date","inclin_down","inclin_dir","X","x","y","z","long","lat","location"
"P186",1,200,-51.801011,64.267258,461196.2466,7127040.358,198.164841,NA,NA,NA,NA,NA,"2011-07-17",38,170,NA,461196.2466,7127040.358,198.164841,-51.8010109997987,64.2672579980675,"<Point><coordinates>-51.8010109997987,64.2672579980675,198.164841</coordinates></Point>"
"P187",1,200,-51.805628,64.271497,460978.5758,7127515.535,200.385254,NA,NA,NA,NA,NA,"2012-07-16",40,308,NA,460978.5758,7127515.535,200.385254,-51.8056279990329,64.2714969986991,"<Point><coordinates>-51.8056279990329,64.2714969986991,200.385254</coordinates></Point>"
"P188",1,200,-51.805632,64.271604,460978.5331,7127527.461,200.202072,NA,NA,NA,NA,NA,"2012-07-16",42,185,NA,460978.5331,7127527.461,200.202072,-51.805631999214,64.2716040034322,"<Point><coordinates>-51.805631999214,64.2716040034322,200.202072</coordinates></Point>"
"P189",1,200,-51.805741,64.271668,460973.3441,7127534.659,200.583755,NA,NA,NA,NA,NA,"2012-07-16",9,185,NA,460973.3441,7127534.659,200.583755,-51.8057410003994,64.2716679997785,"<Point><coordinates>-51.8057410003994,64.2716679997785,200.583755</coordinates></Point>"
"P190",1,200,-51.805732,64.271749,460973.8944,7127543.679,199.780914,NA,NA,NA,NA,NA,"2012-07-16",12,308,NA,460973.8944,7127543.679,199.780914,-51.8057319993972,64.2717489969691,"<Point><coordinates>-51.8057319993972,64.2717489969691,199.780914</coordinates></Point>"
"P191",1,200,-51.805683,64.271839,460976.3947,7127553.678,198.567902,NA,NA,NA,NA,NA,"2012-07-16",28,310,NA,460976.3947,7127553.678,198.567902,-51.8056829994159,64.2718390001946,"<Point><coordinates>-51.8056829994159,64.2718390001946,198.567902</coordinates></Point>"
"P192",1,200,-51.805551,64.271977,460982.9827,7127568.974,197.646774,NA,NA,NA,NA,NA,"2012-07-16",28,312,NA,460982.9827,7127568.974,197.646774,-51.8055509991719,64.27197699692,"<Point><coordinates>-51.8055509991719,64.27197699692,197.646774</coordinates></Point>"
"P193",1,200,-51.801595,64.276132,461180.4203,7128029.546,199.896469,NA,NA,NA,NA,NA,"2012-07-16",28,345,NA,461180.4203,7128029.546,199.896469,-51.8015949999739,64.2761320019629,"<Point><coordinates>-51.8015949999739,64.2761320019629,199.896469</coordinates></Point>"
"P194",1,200,-51.801515,64.276202,461184.3927,7128037.297,199.317413,NA,NA,NA,NA,NA,"2012-07-16",34,314,NA,461184.3927,7128037.297,199.317413,-51.8015149995952,64.276201999401,"<Point><coordinates>-51.8015149995952,64.276201999401,199.317413</coordinates></Point>"
"P195",1,200,-51.801496,64.276322,461185.4813,7128050.657,199.026489,NA,NA,NA,NA,NA,"2012-07-16",44,288,NA,461185.4813,7128050.657,199.026489,-51.8014959999313,64.2763219991301,"<Point><coordinates>-51.8014959999313,64.2763219991301,199.026489</coordinates></Point>"
"P196",1,200,-51.801484,64.2764,461186.1719,7128059.341,199.887741,NA,NA,NA,NA,NA,"2012-07-16",26,342,NA,461186.1719,7128059.341,199.887741,-51.8014840008558,64.2763999970305,"<Point><coordinates>-51.8014840008558,64.2763999970305,199.887741</coordinates></Point>"
"P197",1,200,-51.801353,64.276467,461192.6098,7128066.727,201.700302,NA,NA,NA,NA,NA,"2012-07-16",22,0,NA,461192.6098,7128066.727,201.700302,-51.8013529991409,64.2764669981084,"<Point><coordinates>-51.8013529991409,64.2764669981084,201.700302</coordinates></Point>"
"P198",1,200,-51.801319,64.276568,461194.398,7128077.961,200.413025,NA,NA,NA,NA,NA,"2012-07-16",34,294,NA,461194.398,7128077.961,200.413025,-51.8013190007473,64.276568000737,"<Point><coordinates>-51.8013190007473,64.276568000737,200.413025</coordinates></Point>"
"P199",5,20,NA,NA,524412.7715,7168095.491,20.414618,NA,NA,NA,NA,NA,"2011-07-24",30,34,NA,524412.7715,7168095.491,20.414618,-50.4892220007183,64.6369750043428,"<Point><coordinates>-50.4892220007183,64.6369750043428,20.414618</coordinates></Point>"
"P200",5,20,NA,NA,524423.3278,7168096.356,20.277458,NA,NA,NA,NA,NA,"2011-07-24",21,30,NA,524423.3278,7168096.356,20.277458,-50.4890010005467,64.636982002679,"<Point><coordinates>-50.4890010005467,64.636982002679,20.277458</coordinates></Point>"
"P201",5,20,NA,NA,524429.6987,7168088.717,20.080877,NA,NA,NA,NA,NA,"2011-07-24",18,82,NA,524429.6987,7168088.717,20.080877,-50.4888689996625,64.6369129980957,"<Point><coordinates>-50.4888689996625,64.6369129980957,20.080877</coordinates></Point>"
"P202",5,20,NA,NA,524435.0326,7168085.194,20.40797,NA,NA,NA,NA,NA,"2011-07-24",15,70,NA,524435.0326,7168085.194,20.40797,-50.4887580006786,64.6368810007882,"<Point><coordinates>-50.4887580006786,64.6368810007882,20.40797</coordinates></Point>"
"P203",5,20,NA,NA,524444.7908,7168084.27,19.066765,NA,NA,NA,NA,NA,"2011-07-24",21,5,NA,524444.7908,7168084.27,19.066765,-50.4885540005087,64.636872003718,"<Point><coordinates>-50.4885540005087,64.636872003718,19.066765</coordinates></Point>"
"P204",5,20,NA,NA,524453.9963,7168086.684,19.656847,NA,NA,NA,NA,NA,"2011-07-24",15,45,NA,524453.9963,7168086.684,19.656847,-50.4883610002509,64.6368929978507,"<Point><coordinates>-50.4883610002509,64.6368929978507,19.656847</coordinates></Point>"
"P205",5,20,NA,NA,524561.5102,7168574.02,20.11124,NA,NA,NA,NA,NA,"2011-07-24",14,270,NA,524561.5102,7168574.02,20.11124,-50.4860289997615,64.6412579997019,"<Point><coordinates>-50.4860289997615,64.6412579997019,20.11124</coordinates></Point>"
"P206",5,20,NA,NA,524560.2802,7168584.263,20.745569,NA,NA,NA,NA,NA,"2011-07-24",15,294,NA,524560.2802,7168584.263,20.745569,-50.4860529999506,64.6413499982641,"<Point><coordinates>-50.4860529999506,64.6413499982641,20.745569</coordinates></Point>"
"P207",5,20,NA,NA,524562.3448,7168594.867,19.96187,NA,NA,NA,NA,NA,"2011-07-24",22,328,NA,524562.3448,7168594.867,19.96187,-50.4860079995813,64.6414449963932,"<Point><coordinates>-50.4860079995813,64.6414449963932,19.96187</coordinates></Point>"
"P208",5,20,NA,NA,524565.4832,7168602.694,19.998173,NA,NA,NA,NA,NA,"2011-07-24",20,305,NA,524565.4832,7168602.694,19.998173,-50.4859410006904,64.6415149987339,"<Point><coordinates>-50.4859410006904,64.6415149987339,19.998173</coordinates></Point>"
"P209",5,20,NA,NA,524569.8578,7168611.311,20.010002,NA,NA,NA,NA,NA,"2011-07-24",18,340,NA,524569.8578,7168611.311,20.010002,-50.48584799979,64.6415919996621,"<Point><coordinates>-50.48584799979,64.6415919996621,20.010002</coordinates></Point>"
"P210",5,20,NA,NA,524572.8411,7168620.585,20.003939,NA,NA,NA,NA,NA,"2011-07-24",17,325,NA,524572.8411,7168620.585,20.003939,-50.4857840000487,64.6416749969556,"<Point><coordinates>-50.4857840000487,64.6416749969556,20.003939</coordinates></Point>"
"P211",5,20,NA,NA,524879.9079,7169013.825,18.965275,NA,NA,NA,NA,NA,"2011-07-24",12,332,NA,524879.9079,7169013.825,18.965275,-50.4792910008892,64.6451809977319,"<Point><coordinates>-50.4792910008892,64.6451809977319,18.965275</coordinates></Point>"
"P212",5,20,NA,NA,524883.455,7169024.108,19.437761,NA,NA,NA,NA,NA,"2011-07-24",10,325,NA,524883.455,7169024.108,19.437761,-50.4792150000365,64.6452730041804,"<Point><coordinates>-50.4792150000365,64.6452730041804,19.437761</coordinates></Point>"
"P213",5,20,NA,NA,524888.304,7169032.952,19.224977,NA,NA,NA,NA,NA,"2011-07-24",14,226,NA,524888.304,7169032.952,19.224977,-50.4791119999375,64.6453520026794,"<Point><coordinates>-50.4791119999375,64.6453520026794,19.224977</coordinates></Point>"
"P214",5,20,NA,NA,524889.6182,7169041.655,18.330173,NA,NA,NA,NA,NA,"2011-07-24",8,296,NA,524889.6182,7169041.655,18.330173,-50.4790829999221,64.6454299965461,"<Point><coordinates>-50.4790829999221,64.6454299965461,18.330173</coordinates></Point>"
"P215",5,20,NA,NA,524888.8173,7169051.902,18.66227,NA,NA,NA,NA,NA,"2011-07-24",12,328,NA,524888.8173,7169051.902,18.66227,-50.4790979992816,64.6455220004258,"<Point><coordinates>-50.4790979992816,64.6455220004258,18.66227</coordinates></Point>"
"P216",5,20,NA,NA,524891.598,7169062.401,18.596989,NA,NA,NA,NA,NA,"2011-07-24",14,320,NA,524891.598,7169062.401,18.596989,-50.4790379990315,64.6456160014128,"<Point><coordinates>-50.4790379990315,64.6456160014128,18.596989</coordinates></Point>"
"P217",5,100,NA,NA,525166.8413,7168364.34,100.026512,NA,NA,NA,NA,NA,"2011-07-25",27,265,NA,525166.8413,7168364.34,100.026512,-50.4733989997734,64.6393319994489,"<Point><coordinates>-50.4733989997734,64.6393319994489,100.026512</coordinates></Point>"
"P218",5,100,NA,NA,525173.0929,7168359.711,98.947205,NA,NA,NA,NA,NA,"2011-07-25",20,276,NA,525173.0929,7168359.711,98.947205,-50.4732690001143,64.639289998163,"<Point><coordinates>-50.4732690001143,64.639289998163,98.947205</coordinates></Point>"
"P219",5,100,NA,NA,525179.7528,7168351.965,100.054642,NA,NA,NA,NA,NA,"2011-07-25",23,275,NA,525179.7528,7168351.965,100.054642,-50.473130999826,64.6392199979363,"<Point><coordinates>-50.473130999826,64.6392199979363,100.054642</coordinates></Point>"
"P220",5,100,NA,NA,525183.4599,7168342.969,99.03244,NA,NA,NA,NA,NA,"2011-07-25",22,300,NA,525183.4599,7168342.969,99.03244,-50.4730549995937,64.6391390017231,"<Point><coordinates>-50.4730549995937,64.6391390017231,99.03244</coordinates></Point>"
"P221",5,100,NA,NA,525186.8464,7168332.298,99.72995,NA,NA,NA,NA,NA,"2011-07-25",19,285,NA,525186.8464,7168332.298,99.72995,-50.4729859990652,64.6390429998521,"<Point><coordinates>-50.4729859990652,64.6390429998521,99.72995</coordinates></Point>"
"P222",5,100,NA,NA,525186.9112,7168324.497,99.180992,NA,NA,NA,NA,NA,"2011-07-25",20,304,NA,525186.9112,7168324.497,99.180992,-50.4729859999281,64.6389729977908,"<Point><coordinates>-50.4729859999281,64.6389729977908,99.180992</coordinates></Point>"
"P223",5,100,NA,NA,524922.6699,7167898.702,99.502197,NA,NA,NA,NA,NA,"2011-07-25",17,279,NA,524922.6699,7167898.702,99.502197,-50.478588000291,64.6351720014906,"<Point><coordinates>-50.478588000291,64.6351720014906,99.502197</coordinates></Point>"
"P224",5,100,NA,NA,524917.4791,7167890.524,100.163063,NA,NA,NA,NA,NA,"2011-07-25",8,334,NA,524917.4791,7167890.524,100.163063,-50.4786979991624,64.6350990043621,"<Point><coordinates>-50.4786979991624,64.6350990043621,100.163063</coordinates></Point>"
"P225",5,100,NA,NA,524910.7394,7167884.673,100.798203,NA,NA,NA,NA,NA,"2011-07-25",16,331,NA,524910.7394,7167884.673,100.798203,-50.4788400003581,64.6350470012469,"<Point><coordinates>-50.4788400003581,64.6350470012469,100.798203</coordinates></Point>"
"P226",5,100,NA,NA,524905.3683,7167875.156,99.495056,NA,NA,NA,NA,NA,"2011-07-25",10,332,NA,524905.3683,7167875.156,99.495056,-50.4789540001094,64.6349620025544,"<Point><coordinates>-50.4789540001094,64.6349620025544,99.495056</coordinates></Point>"
"P227",5,100,NA,NA,524897.5954,7167867.068,100.290947,NA,NA,NA,NA,NA,"2011-07-25",8,2,NA,524897.5954,7167867.068,100.290947,-50.4791179990278,64.6348900030479,"<Point><coordinates>-50.4791179990278,64.6348900030479,100.290947</coordinates></Point>"
"P228",5,100,NA,NA,524890.6763,7167859.767,99.744987,NA,NA,NA,NA,NA,"2011-07-25",6,354,NA,524890.6763,7167859.767,99.744987,-50.4792640004773,64.6348250020888,"<Point><coordinates>-50.4792640004773,64.6348250020888,99.744987</coordinates></Point>"
